polarity,review_id,sentence_id,text,op_category,op_target,op_OTE_offset,tokens,POS,freq,sentiment,ngrams_2,ngrams_3,ngrams_4,stemmed_text,lem_text,countVect
0,1004293,1004293:0,"
     Judging from previous posts this used to be a good place, but not any longer.
    ",RESTAURANT#GENERAL,place,"('51', '56')","['Judging', 'previous', 'posts', 'used', 'good', 'place', 'longer']","[('Judging', 'VBG'), ('previous', 'JJ'), ('posts', 'NNS'), ('used', 'VBD'), ('good', 'JJ'), ('place', 'NN'), ('longer', 'RBR')]","{'Judging': 1, 'previous': 1, 'posts': 1, 'used': 1, 'good': 1, 'place': 1, 'longer': 1}","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2382}","[('Judging', 'previous'), ('previous', 'posts'), ('posts', 'used'), ('used', 'good'), ('good', 'place'), ('place', 'longer')]","[('Judging', 'previous', 'posts'), ('previous', 'posts', 'used'), ('posts', 'used', 'good'), ('used', 'good', 'place'), ('good', 'place', 'longer')]","[('Judging', 'previous', 'posts', 'used'), ('previous', 'posts', 'used', 'good'), ('posts', 'used', 'good', 'place'), ('used', 'good', 'place', 'longer')]","['judg', 'previou', 'post', 'use', 'good', 'place', 'longer']","['Judging', 'previous', 'post', 'used', 'good', 'place', 'longer']",[[0 0 0 ... 0 0 0]]
0,1004293,1004293:1,"
     We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
    ",SERVICE#GENERAL,staff,"('75', '80')","['We', 'four', 'us', 'arrived', 'noon', 'place', 'empty', 'staff', 'acted', 'like', 'imposing', 'rude']","[('We', 'PRP'), ('four', 'CD'), ('us', 'PRP'), ('arrived', 'VBD'), ('noon', 'JJ'), ('place', 'NN'), ('empty', 'JJ'), ('staff', 'NN'), ('acted', 'VBN'), ('like', 'IN'), ('imposing', 'VBG'), ('rude', 'NN')]","{'We': 1, 'four': 1, 'us': 1, 'arrived': 1, 'noon': 1, 'place': 1, 'empty': 1, 'staff': 1, 'acted': 1, 'like': 1, 'imposing': 1, 'rude': 1}","{'neg': 0.197, 'neu': 0.727, 'pos': 0.076, 'compound': -0.4576}","[('We', 'four'), ('four', 'us'), ('us', 'arrived'), ('arrived', 'noon'), ('noon', 'place'), ('place', 'empty'), ('empty', 'staff'), ('staff', 'acted'), ('acted', 'like'), ('like', 'imposing'), ('imposing', 'rude')]","[('We', 'four', 'us'), ('four', 'us', 'arrived'), ('us', 'arrived', 'noon'), ('arrived', 'noon', 'place'), ('noon', 'place', 'empty'), ('place', 'empty', 'staff'), ('empty', 'staff', 'acted'), ('staff', 'acted', 'like'), ('acted', 'like', 'imposing'), ('like', 'imposing', 'rude')]","[('We', 'four', 'us', 'arrived'), ('four', 'us', 'arrived', 'noon'), ('us', 'arrived', 'noon', 'place'), ('arrived', 'noon', 'place', 'empty'), ('noon', 'place', 'empty', 'staff'), ('place', 'empty', 'staff', 'acted'), ('empty', 'staff', 'acted', 'like'), ('staff', 'acted', 'like', 'imposing'), ('acted', 'like', 'imposing', 'rude')]","['we', 'four', 'us', 'arriv', 'noon', 'place', 'empti', 'staff', 'act', 'like', 'impos', 'rude']","['We', 'four', 'u', 'arrived', 'noon', 'place', 'empty', 'staff', 'acted', 'like', 'imposing', 'rude']",[[0 0 0 ... 0 0 0]]
0,1004293,1004293:2,"
     They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
    ",SERVICE#GENERAL,NULL,"('0', '0')","['They', 'never', 'brought', 'us', 'complimentary', 'noodles', 'ignored', 'repeated', 'requests', 'sugar', 'threw', 'dishes', 'table']","[('They', 'PRP'), ('never', 'RB'), ('brought', 'VBD'), ('us', 'PRP'), ('complimentary', 'JJ'), ('noodles', 'NNS'), ('ignored', 'VBN'), ('repeated', 'JJ'), ('requests', 'NNS'), ('sugar', 'NN'), ('threw', 'VBD'), ('dishes', 'NNS'), ('table', 'JJ')]","{'They': 1, 'never': 1, 'brought': 1, 'us': 1, 'complimentary': 1, 'noodles': 1, 'ignored': 1, 'repeated': 1, 'requests': 1, 'sugar': 1, 'threw': 1, 'dishes': 1, 'table': 1}","{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.5727}","[('They', 'never'), ('never', 'brought'), ('brought', 'us'), ('us', 'complimentary'), ('complimentary', 'noodles'), ('noodles', 'ignored'), ('ignored', 'repeated'), ('repeated', 'requests'), ('requests', 'sugar'), ('sugar', 'threw'), ('threw', 'dishes'), ('dishes', 'table')]","[('They', 'never', 'brought'), ('never', 'brought', 'us'), ('brought', 'us', 'complimentary'), ('us', 'complimentary', 'noodles'), ('complimentary', 'noodles', 'ignored'), ('noodles', 'ignored', 'repeated'), ('ignored', 'repeated', 'requests'), ('repeated', 'requests', 'sugar'), ('requests', 'sugar', 'threw'), ('sugar', 'threw', 'dishes'), ('threw', 'dishes', 'table')]","[('They', 'never', 'brought', 'us'), ('never', 'brought', 'us', 'complimentary'), ('brought', 'us', 'complimentary', 'noodles'), ('us', 'complimentary', 'noodles', 'ignored'), ('complimentary', 'noodles', 'ignored', 'repeated'), ('noodles', 'ignored', 'repeated', 'requests'), ('ignored', 'repeated', 'requests', 'sugar'), ('repeated', 'requests', 'sugar', 'threw'), ('requests', 'sugar', 'threw', 'dishes'), ('sugar', 'threw', 'dishes', 'table')]","['they', 'never', 'brought', 'us', 'complimentari', 'noodl', 'ignor', 'repeat', 'request', 'sugar', 'threw', 'dish', 'tabl']","['They', 'never', 'brought', 'u', 'complimentary', 'noodle', 'ignored', 'repeated', 'request', 'sugar', 'threw', 'dish', 'table']",[[0 0 0 ... 0 0 0]]
0,1004293,1004293:3,"
     The food was lousy - too sweet or too salty and the portions tiny.
    ",FOOD#QUALITY,food,"('4', '8')","['The', 'food', 'lousy', 'sweet', 'salty', 'portions', 'tiny']","[('The', 'DT'), ('food', 'NN'), ('lousy', 'JJ'), ('sweet', 'NN'), ('salty', 'NN'), ('portions', 'NNS'), ('tiny', 'VBP')]","{'The': 1, 'food': 1, 'lousy': 1, 'sweet': 1, 'salty': 1, 'portions': 1, 'tiny': 1}","{'neg': 0.2, 'neu': 0.629, 'pos': 0.171, 'compound': -0.128}","[('The', 'food'), ('food', 'lousy'), ('lousy', 'sweet'), ('sweet', 'salty'), ('salty', 'portions'), ('portions', 'tiny')]","[('The', 'food', 'lousy'), ('food', 'lousy', 'sweet'), ('lousy', 'sweet', 'salty'), ('sweet', 'salty', 'portions'), ('salty', 'portions', 'tiny')]","[('The', 'food', 'lousy', 'sweet'), ('food', 'lousy', 'sweet', 'salty'), ('lousy', 'sweet', 'salty', 'portions'), ('sweet', 'salty', 'portions', 'tiny')]","['the', 'food', 'lousi', 'sweet', 'salti', 'portion', 'tini']","['The', 'food', 'lousy', 'sweet', 'salty', 'portion', 'tiny']",[[0 0 0 ... 0 0 0]]
0,1004293,1004293:3,"
     The food was lousy - too sweet or too salty and the portions tiny.
    ",FOOD#STYLE_OPTIONS,portions,"('52', '60')","['The', 'food', 'lousy', 'sweet', 'salty', 'portions', 'tiny']","[('The', 'DT'), ('food', 'NN'), ('lousy', 'JJ'), ('sweet', 'NN'), ('salty', 'NN'), ('portions', 'NNS'), ('tiny', 'VBP')]","{'The': 1, 'food': 1, 'lousy': 1, 'sweet': 1, 'salty': 1, 'portions': 1, 'tiny': 1}","{'neg': 0.2, 'neu': 0.629, 'pos': 0.171, 'compound': -0.128}","[('The', 'food'), ('food', 'lousy'), ('lousy', 'sweet'), ('sweet', 'salty'), ('salty', 'portions'), ('portions', 'tiny')]","[('The', 'food', 'lousy'), ('food', 'lousy', 'sweet'), ('lousy', 'sweet', 'salty'), ('sweet', 'salty', 'portions'), ('salty', 'portions', 'tiny')]","[('The', 'food', 'lousy', 'sweet'), ('food', 'lousy', 'sweet', 'salty'), ('lousy', 'sweet', 'salty', 'portions'), ('sweet', 'salty', 'portions', 'tiny')]","['the', 'food', 'lousi', 'sweet', 'salti', 'portion', 'tini']","['The', 'food', 'lousy', 'sweet', 'salty', 'portion', 'tiny']",[[0 0 0 ... 0 0 0]]
0,1004293,1004293:4,"
     After all that, they complained to me about the small tip.
    ",SERVICE#GENERAL,NULL,"('0', '0')","['After', 'complained', 'small', 'tip']","[('After', 'IN'), ('complained', 'VBN'), ('small', 'JJ'), ('tip', 'NN')]","{'After': 1, 'complained': 1, 'small': 1, 'tip': 1}","{'neg': 0.213, 'neu': 0.787, 'pos': 0.0, 'compound': -0.4019}","[('After', 'complained'), ('complained', 'small'), ('small', 'tip')]","[('After', 'complained', 'small'), ('complained', 'small', 'tip')]","[('After', 'complained', 'small', 'tip')]","['after', 'complain', 'small', 'tip']","['After', 'complained', 'small', 'tip']",[[0 0 0 ... 0 0 0]]
0,1004293,1004293:5,"
     Avoid this place!
    ",RESTAURANT#GENERAL,place,"('11', '16')","['Avoid', 'place']","[('Avoid', 'NNP'), ('place', 'NN')]","{'Avoid': 1, 'place': 1}","{'neg': 0.555, 'neu': 0.445, 'pos': 0.0, 'compound': -0.3595}","[('Avoid', 'place')]",[],[],"['avoid', 'place']","['Avoid', 'place']",[[1 0 0 ... 0 0 0]]
2,1014458,1014458:0,"
     I have eaten at Saul, many times, the food is always consistently, outrageously good.
    ",FOOD#QUALITY,food,"('38', '42')","['I', 'eaten', 'Saul', 'many', 'times', 'food', 'always', 'consistently', 'outrageously', 'good']","[('I', 'PRP'), ('eaten', 'VBP'), ('Saul', 'NNP'), ('many', 'JJ'), ('times', 'NNS'), ('food', 'NN'), ('always', 'RB'), ('consistently', 'RB'), ('outrageously', 'RB'), ('good', 'JJ')]","{'I': 1, 'eaten': 1, 'Saul': 1, 'many': 1, 'times': 1, 'food': 1, 'always': 1, 'consistently': 1, 'outrageously': 1, 'good': 1}","{'neg': 0.137, 'neu': 0.683, 'pos': 0.18, 'compound': 0.1779}","[('I', 'eaten'), ('eaten', 'Saul'), ('Saul', 'many'), ('many', 'times'), ('times', 'food'), ('food', 'always'), ('always', 'consistently'), ('consistently', 'outrageously'), ('outrageously', 'good')]","[('I', 'eaten', 'Saul'), ('eaten', 'Saul', 'many'), ('Saul', 'many', 'times'), ('many', 'times', 'food'), ('times', 'food', 'always'), ('food', 'always', 'consistently'), ('always', 'consistently', 'outrageously'), ('consistently', 'outrageously', 'good')]","[('I', 'eaten', 'Saul', 'many'), ('eaten', 'Saul', 'many', 'times'), ('Saul', 'many', 'times', 'food'), ('many', 'times', 'food', 'always'), ('times', 'food', 'always', 'consistently'), ('food', 'always', 'consistently', 'outrageously'), ('always', 'consistently', 'outrageously', 'good')]","['i', 'eaten', 'saul', 'mani', 'time', 'food', 'alway', 'consist', 'outrag', 'good']","['I', 'eaten', 'Saul', 'many', 'time', 'food', 'always', 'consistently', 'outrageously', 'good']",[[0 0 0 ... 0 0 0]]
2,1014458,1014458:1,"
     Saul is the best restaurant on Smith Street and in Brooklyn.
    ",RESTAURANT#GENERAL,Saul,"('0', '4')","['Saul', 'best', 'restaurant', 'Smith', 'Street', 'Brooklyn']","[('Saul', 'NNP'), ('best', 'RBS'), ('restaurant', 'NN'), ('Smith', 'NNP'), ('Street', 'NNP'), ('Brooklyn', 'NNP')]","{'Saul': 1, 'best': 1, 'restaurant': 1, 'Smith': 1, 'Street': 1, 'Brooklyn': 1}","{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369}","[('Saul', 'best'), ('best', 'restaurant'), ('restaurant', 'Smith'), ('Smith', 'Street'), ('Street', 'Brooklyn')]","[('Saul', 'best', 'restaurant'), ('best', 'restaurant', 'Smith'), ('restaurant', 'Smith', 'Street'), ('Smith', 'Street', 'Brooklyn')]","[('Saul', 'best', 'restaurant', 'Smith'), ('best', 'restaurant', 'Smith', 'Street'), ('restaurant', 'Smith', 'Street', 'Brooklyn')]","['saul', 'best', 'restaur', 'smith', 'street', 'brooklyn']","['Saul', 'best', 'restaurant', 'Smith', 'Street', 'Brooklyn']",[[0 0 0 ... 0 0 0]]
2,1014458,1014458:2,"
     The duck confit is always amazing and the foie gras terrine with figs was out of this world.
    ",FOOD#QUALITY,foie gras terrine with figs,"('42', '69')","['The', 'duck', 'confit', 'always', 'amazing', 'foie', 'gras', 'terrine', 'figs', 'world']","[('The', 'DT'), ('duck', 'NN'), ('confit', 'NN'), ('always', 'RB'), ('amazing', 'VBG'), ('foie', 'NN'), ('gras', 'NNS'), ('terrine', 'VBP'), ('figs', 'JJ'), ('world', 'NN')]","{'The': 1, 'duck': 1, 'confit': 1, 'always': 1, 'amazing': 1, 'foie': 1, 'gras': 1, 'terrine': 1, 'figs': 1, 'world': 1}","{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.5859}","[('The', 'duck'), ('duck', 'confit'), ('confit', 'always'), ('always', 'amazing'), ('amazing', 'foie'), ('foie', 'gras'), ('gras', 'terrine'), ('terrine', 'figs'), ('figs', 'world')]","[('The', 'duck', 'confit'), ('duck', 'confit', 'always'), ('confit', 'always', 'amazing'), ('always', 'amazing', 'foie'), ('amazing', 'foie', 'gras'), ('foie', 'gras', 'terrine'), ('gras', 'terrine', 'figs'), ('terrine', 'figs', 'world')]","[('The', 'duck', 'confit', 'always'), ('duck', 'confit', 'always', 'amazing'), ('confit', 'always', 'amazing', 'foie'), ('always', 'amazing', 'foie', 'gras'), ('amazing', 'foie', 'gras', 'terrine'), ('foie', 'gras', 'terrine', 'figs'), ('gras', 'terrine', 'figs', 'world')]","['the', 'duck', 'confit', 'alway', 'amaz', 'foie', 'gra', 'terrin', 'fig', 'world']","['The', 'duck', 'confit', 'always', 'amazing', 'foie', 'gras', 'terrine', 'fig', 'world']",[[0 0 0 ... 0 0 0]]
